("raise",6.671051357961695)
("caret",6.655551661366541)
("crane",6.478508247730802)
("nares",6.457048401789104)
("snare",6.416792037064423)
("laser",6.4140056958232785)
("arose",6.410852602484202)
("stare",6.387907202974823)
("slate",6.378702381117273)
("learn",6.376515839643058)
("aline",6.372624570965036)
("least",6.353014763564573)
("renal",6.3468376580574555)
("sarge",6.342648303291065)
("orate",6.333739539839104)
("plane",6.3106916469849335)
("crate",6.308546605455445)
("pearl",6.307320999469422)
("tread",6.296917247276895)
("siren",6.295758332527687)
("shale",6.294509435362795)
("senor",6.289248768949951)
("trine",6.287394192219666)
("parse",6.284939691431453)
("risen",6.283452045793207)
("large",6.281823281615199)
("cater",6.28113189560455)
("clear",6.280092087126988)
("pater",6.272478512386468)
("roast",6.272247070580314)
("great",6.265510162947398)
("sonar",6.263392906855851)
("shear",6.262122217079887)
("arise",6.2596848792341255)
("corse",6.258453144153933)
("canoe",6.255739387454726)
("sabre",6.252946480292871)
("trade",6.2496133998686165)
("trace",6.245140550280858)
("maser",6.240468305345944)
("noise",6.228495099162777)
("cries",6.225949598365978)
("share",6.222578533734788)
("irate",6.221834916299045)
("caste",6.218224247106236)
("grate",6.2145771915099575)
("liter",6.209721630478905)
("saute",6.208282738118695)
("stale",6.204399566289684)
("blare",6.204141032330624)
("prate",6.20323479539163)
("later",6.197257361774197)
("shone",6.18961979363698)
("scare",6.1894437476641135)
("early",6.177820996803728)
("caper",6.1773128146524865)
("leant",6.17057529264026)
("react",6.166664468602954)
("panel",6.165262598187863)
("lance",6.164148614573234)
("cleat",6.15892325009986)
("heart",6.158566569064925)
("borne",6.158533283644232)
("nates",6.156432461351657)
("alone",6.153141353488083)
("blear",6.149385931238134)
("slant",6.147939591211937)
("shire",6.144710199568007)
("ranee",6.14442504897691)
("realm",6.143933233137982)
("sitar",6.143228115671533)
("talon",6.141487633091714)
("pleat",6.141474187456908)
("alder",6.140870233703363)
("cadre",6.138479361248152)
("stole",6.138187186751397)
("alert",6.134453013300352)
("anise",6.129929941171521)
("saber",6.129070960216453)
("resin",6.122567596163611)
("rinse",6.121532291722919)
("coral",6.119052719688063)
("bread",6.118125652918415)
("nitre",6.112005994448621)
("taper",6.110834661399604)
("shore",6.110279846973415)
("paste",6.106061294065861)
("plate",6.105541776053282)
("water",6.104778177384352)
("thane",6.102639734818103)
("cruet",6.100150505302258)
("beard",6.098601010181115)
("litre",6.097341054226929)
("train",6.097164998386378)
("liner",6.097004599384891)
("sable",6.096149563108291)
("aerie",6.094265139243688)
("deary",6.092567030960203)
("tried",6.0922052693563415)
("cedar",6.090945442152408)
("aisle",6.090270146270975)
("prone",6.088885523373254)
("manes",6.0882404971501725)
("leash",6.087964350362747)
("padre",6.087217583046442)
("nacre",6.0868292015053935)
("clean",6.0846073043077435)
("since",6.0838791552479075)
("store",6.083665280720184)
("cager",6.083231859059525)
("mores",6.082638254197916)
("spate",6.078986412289113)
("stile",6.075412764152658)
("means",6.074590127558608)
("eclat",6.0743387023501825)
("oriel",6.073038495408588)
("trice",6.072629214576785)
("tamer",6.0720249001094455)
("brace",6.070215035711055)
("steal",6.069146031474888)
("alien",6.067939887261432)
("glare",6.0674654240562464)
("barge",6.062832897220829)
("poise",6.060185725420745)
("sauce",6.059917159363495)
("adore",6.059569751765179)
("loser",6.059246363218655)
("metal",6.058220564940996)
("pacer",6.057771642672588)
("anile",6.056026397071138)
("salon",6.0556508941169005)
("blase",6.055345154692026)
("solar",6.054802151146524)
("beast",6.054347306512945)
("boner",6.053464526117594)
("prise",6.052929288235982)
("tenor",6.051957910408651)
("wrote",6.050075092182743)
("place",6.049373000394322)
("poser",6.047921712027181)
("crone",6.045393209416707)
("earth",6.044896086432171)
("feral",6.04418562803633)
("cause",6.04335694169367)
("false",6.043049054433615)
("bleat",6.042838547294764)
("cadet",6.040240153942045)
("saint",6.039132776754504)
("rainy",6.034595746545325)
("lager",6.033869557502289)
("manse",6.03210543251018)
("spare",6.031153668680488)
("meant",6.029468650837022)
("lapse",6.0293696902593155)
("smear",6.029169537990263)
("farce",6.028622535375119)
("anger",6.0280432339604975)
("torah",6.027915914335449)
("trail",6.0274672747389335)
("erase",6.026710516863444)
("gorse",6.026620004906549)
("biter",6.02644770069075)
("grace",6.019529200065641)
("horse",6.017010423537859)
("baste",6.016433106858189)
("crape",6.014545493409352)
("ramie",6.012339396711245)
("rouse",6.010632079830481)
("loran",6.009191005105696)
("range",6.008136602765588)
("curse",6.007376401409908)
("laird",6.005835972333301)
("tired",6.004951456700443)
("snore",6.00481797528047)
("cline",6.0045573823643785)
("laden",6.003536913384789)
("sepal",6.0024353242162825)
("close",5.999757386879457)
("chore",5.99860024739874)
("scale",5.998465018077637)
("worse",5.998311862155109)
("crest",5.997822434142574)
("delay",5.996031477679066)
("carol",5.995913839778911)
("shote",5.995098196307293)
("prose",5.993359801340441)
("slake",5.990632409648782)
("largo",5.98898415736585)
("cairn",5.986444381287733)
("yearn",5.986067030189543)
("niter",5.98510770984983)
("ready",5.984976345050779)
("mange",5.98419506170812)
("relay",5.983578194608028)
("sober",5.982768609036486)
("spear",5.982646463527382)
("haste",5.976846637575248)
("slain",5.976399751823214)
("score",5.975225686786542)
("beano",5.974454743190489)
("arete",5.974024587724083)
("atone",5.972487099325453)
("louse",5.970976491679361)
("paten",5.970653664606049)
("penal",5.9693739652732924)
("route",5.968580096504055)
("tonal",5.96801943452167)
("fetal",5.967715260767669)
("stone",5.966624164932232)
("peaty",5.965913463616117)
("merit",5.9653238146513115)
("clone",5.964248099657192)
("tripe",5.964212101345119)
("heard",5.963727637055256)
("outre",5.9632924725358905)
("belay",5.963215260712803)
("cried",5.963184574963491)
("grade",5.963067503530179)
("petal",5.962756976510354)
("rater",5.961038566191255)
("flare",5.960915495576587)
("plena",5.959936573729381)
("salve",5.957453956841942)
("dealt",5.95609592769299)
("sabot",5.953304281460737)
("drape",5.949752816281295)
("drone",5.947001482427465)
("douse",5.94559368677213)
("mitre",5.945592007413002)
("alter",5.942279862271869)
("suite",5.941878900102547)
("shine",5.941789827428737)
("inert",5.941522775029763)
("tuner",5.9407313874099925)
("blade",5.940213651384739)
("feast",5.939489503918824)
("trial",5.939229344526926)
("taupe",5.938326910742462)
("forte",5.936719347273739)
("raven",5.9355809735399125)
("nurse",5.935162023473228)
("sepia",5.933673546145251)
("valet",5.931722138215884)
("tease",5.931470717712959)
("opera",5.930061861134278)
("sidle",5.929405065705401)
("eater",5.928101038005592)
("scone",5.926347618496594)
("crime",5.926106193274858)
("leapt",5.923638777253034)
("coast",5.922418530007824)
("layer",5.922100846857208)
("mealy",5.920457043027283)
("cagey",5.917505197200577)
("facet",5.917261867038236)
("grape",5.916944813252259)
("snarl",5.916756502109984)
("sedan",5.916365701509104)
("cruse",5.914215595854419)
("harem",5.913871135740337)
("repot",5.913823227884525)
("stein",5.91328637233881)
("cream",5.9126939462958985)
("molar",5.912650407249216)
("shame",5.910636267005451)
("slime",5.910454833486824)
("reach",5.905956172778616)
("slave",5.9057627755290225)
("tribe",5.904771989237016)
("beaut",5.902200397604385)
("spine",5.900600319698469)
("creak",5.900193955788106)
("trove",5.900129790477954)
("loath",5.89997772418432)
("cruel",5.899887442807028)
("pedal",5.899635432275302)
("aster",5.899389346499157)
("crake",5.897652749058377)
("trope",5.897416734300763)
("delta",5.895370941887795)
("brake",5.894731413609839)
("phase",5.892997002362176)
("helot",5.892157285416356)
("caber",5.8905960997822255)
("derma",5.89019277058767)
("slice",5.8887268328045925)
("baron",5.88791517057629)
("reign",5.887757318025231)
("venal",5.887641893525042)
("urine",5.887339641421774)
("motel",5.88707053244389)
("craze",5.885420134175361)
("enact",5.8846389477485825)
("skate",5.8840325681676475)
("throe",5.882312487051915)
("stair",5.881359624383806)
("camel",5.881161746786127)
("onset",5.877990368198202)
("seamy",5.877185739915426)
("model",5.8766973320111)
("repay",5.876455856806187)
("eland",5.875163244595575)
("boast",5.873495783824836)
("manor",5.872030188258819)
("sower",5.871077798301183)
("nosey",5.871039883548725)
("chase",5.870803218377371)
("outer",5.870462536693133)
("dairy",5.869837145189475)
("cameo",5.867883542586947)
("table",5.86736248091188)
("wader",5.8670504585888965)
("piles",5.866633448531082)
("decal",5.865140693358275)
("lento",5.865027257970123)
("inlet",5.864882630232866)
("dance",5.864096786944112)
("metro",5.863698645426302)
("waste",5.8632810790156515)
("piano",5.861851938757707)
("satin",5.860443892484516)
("slope",5.8603058511484)
("ratio",5.858191446130534)
("faery",5.858179479035786)
("stead",5.856641343531665)
("singe",5.856342991691193)
("pause",5.851908885720982)
("miner",5.850995042516827)
("goner",5.850648521841989)
("islet",5.850156603054087)
("swear",5.849947284242295)
("peril",5.84941471843948)
("spite",5.847905343018173)
("moire",5.8474604785106585)
("truce",5.847185309859828)
("neath",5.846177945076949)
("those",5.845293220850728)
("treat",5.845234719042926)
("glean",5.845021192054053)
("miser",5.844086629674102)
("regal",5.842831837242827)
("paint",5.842695455372158)
("valse",5.842642077443435)
("miter",5.841694182825998)
